id	pop	urban	black	white	asian	native	highschool	college	income	age
6091	2931	0.28	0.07	95.84	0.03	1.13	88.3	23	32466	55.2
6093	43668	34.17	1.62	85.54	1.59	3.36	88.4	22.6	25969	47.9
6095	429596	96.28	14.13	52.88	15.23	0.49	85.8	24	41804	37.5
6097	497776	87.65	1.58	76.07	3.90	1.08	86.2	31.5	38129	41.2
6099	530561	92.02	2.73	74.65	5.42	0.65	75.3	16.3	32910	33.8
6101	95406	85.2	1.95	70.98	15.05	0.90	78.4	18.7	30849	35.6
6103	63015	48.51	0.63	86.53	1.40	2.75	80.3	12.6	27062	40.6
6105	13180	0	1.09	86.29	1.56	4.29	90.1	19.5	24592	50.6
6107	455769	84.52	1.59	79.69	3.51	1.28	67.3	13	26492	30.4
6109	53864	51.03	1.90	88.40	1.31	1.64	87.3	17.3	29763	48.2
6111	843110	96.88	1.76	79.44	7.09	0.75	82.3	30.8	40978	37.3
6113	209671	93.07	2.46	67.09	13.88	0.71	84.3	37.8	39288	30.9
6115	73897	73.78	3.06	72.02	6.94	1.43	76.9	12.5	29303	32.2
8001	479977	96.38	3.20	82.78	3.75	1.22	81	20.3	35432	33.3
8003	16353	63.13	2.06	87.23	1.06	2.76	86.4	26.6	29796	30.2
8005	617668	98.42	10.38	72.45	5.59	0.57	90.4	37.9	38786	36.3
8007	12355	40.62	0.96	85.67	0.72	2.44	93.2	39	26533	49.5
8009	3648	0	1.32	95.72	0.00	1.54	85	19	23006	47.5
8011	5816	62.04	8.12	86.40	0.58	1.24	80.4	13.2	21341	41.2
8013	313961	91.09	0.93	88.56	4.48	0.54	93.7	57	40954	36
8014	62449	99.42	0.98	86.52	6.27	0.48	95.3	44.4	46738	37.6
8015	18507	62.59	1.28	95.85	0.36	0.73	90.8	33.3	22969	49.1
8017	2071	0	0.29	96.04	1.83	0.63	87.9	18.5	30667	37.8
8019	9238	0	1.14	94.28	0.42	0.80	96.9	41.6	38487	47.6
8021	8213	0	0.17	91.54	0.16	1.88	81.4	18.7	24991	38.7
8023	3590	0	0.36	93.18	1.06	0.19	73.9	14.3	20300	50.5
8025	5537	0	5.31	84.31	0.70	1.52	72.4	12.2	20255	39.6
8027	4375	0	3.11	93.01	0.00	0.94	93.7	29.2	23339	56.8
8029	30221	36.83	0.72	94.35	0.90	1.11	86	18.3	24758	47.5
8031	663303	100	9.77	76.95	3.50	0.94	84	40.1	34682	34.2
8033	1789	0	0.00	97.09	0.00	0.45	86	14.9	26800	46
8035	314238	89.71	1.12	90.25	4.15	0.24	97.6	54.4	54936	37.8
8037	52894	80.02	0.79	88.52	0.83	0.64	87.2	45.9	39824	35.9
8039	24225	0	0.74	94.74	0.77	0.45	96.1	29.2	42432	45.4
8041	665171	91.07	6.13	80.19	2.68	0.62	92.5	34.9	35588	33.8
8043	46835	73.58	5.04	89.71	0.81	1.06	79.2	16.2	22901	44.3
8045	57495	75.9	0.81	86.72	0.74	1.02	85.6	24.4	36549	36.1
8047	5708	0	0.30	91.03	0.19	1.10	94.8	33.7	33977	44.8
8049	14490	17.4	0.79	92.31	1.71	0.04	94.8	28.8	35656	43
8051	15889	41.39	0.65	95.66	0.66	0.67	93.1	45.8	29619	34.4
8053	856	0	0.00	95.91	0.00	1.99	90.8	42	28631	56.4
8055	6521	43.85	0.35	93.76	0.15	1.99	85.1	27.2	24335	54.5
8057	1306	0	0.08	92.04	0.00	0.46	91.4	21.7	25147	51.2
8059	558810	93.1	1.15	90.83	2.67	0.85	92.9	39.3	41981	40.5
8061	1465	0	0.48	95.63	0.14	0.20	91	20.1	24929	40.7
8063	8174	51.31	3.74	92.22	0.22	0.34	84.5	14.9	27380	39.2
8065	7401	68.93	0.11	86.35	0.51	0.16	79.4	20.7	24709	39.4
8067	53994	40.05	0.45	88.74	0.56	5.84	93.6	40.6	33720	39
8069	325228	88.34	0.90	91.02	2.01	0.55	93.7	42.5	35817	35.6
8071	14322	59.21	0.93	84.25	0.77	3.44	83.8	19.3	28954	45.7
8073	5515	0	8.49	87.23	0.22	1.45	84.5	15.3	27917	37.5
8075	21862	70.84	2.20	92.01	0.97	1.93	86.7	18	27924	37.1
8077	148166	87.32	0.70	93.70	0.63	0.82	89.1	25.4	32858	38.8
8079	793	0	0.63	86.63	0.00	0.76	97.4	39.1	21745	61.2
8081	13034	72.64	0.84	94.74	0.80	0.54	88.4	14.9	35675	37.7
8083	26006	32.82	0.40	82.99	0.20	11.56	88.4	26.5	27296	43.4
8085	40866	55.01	0.57	92.78	0.79	0.98	85.4	22.3	30191	44.6
8087	28288	67.45	3.09	90.69	0.51	0.50	77.7	14.6	26227	36.6
8089	18440	65.59	0.48	90.49	1.00	1.65	79.8	15.4	25614	40.3
8091	4651	0	0.00	97.91	0.65	0.32	95.2	41.3	30833	53.3
8093	16440	0	0.11	95.27	1.14	0.72	93.5	32.6	37223	50
8095	4347	0	0.23	95.28	0.69	0.90	85.3	16	27794	41
8097	17543	55.8	1.45	92.33	1.24	0.25	96.1	59.7	40541	43.2
8099	12121	62.11	0.64	95.18	0.82	0.68	80.5	18.3	24616	37.5
8101	162158	85.85	2.24	78.13	0.78	3.15	85.7	20.9	30206	38.8
8103	6658	0	0.27	96.56	0.09	0.45	91.8	22.7	37974	35.7
8105	11623	37.46	0.76	91.22	0.37	2.04	83.9	19.2	22114	40.8
8107	23980	54.82	0.75	94.77	1.10	0.42	96.8	45.6	35949	40
8109	6255	0	0.00	90.18	1.31	1.01	76.1	19.4	20410	47.5
8111	552	0	0.00	96.74	0.00	0.54	93.4	30.8	29435	49
8113	7767	0	0.15	95.62	1.09	0.50	94.7	48.8	37596	41.4
8115	2367	0	1.10	91.55	1.52	0.51	82.6	12.7	28239	49.5
8117	29269	80.48	1.02	88.23	0.78	0.14	94.6	49.9	35484	38.2
8119	23472	37.4	0.92	94.73	0.90	0.20	94.1	31	33922	49.5
8121	4814	0	0.89	96.24	0.35	0.48	85.4	18.3	28676	42.8
8123	278065	79.54	1.12	87.53	1.31	0.81	84.7	25.4	34856	34
8125	10150	35.09	1.04	94.79	0.04	0.29	83.6	17.8	26856	37.2
9001	941618	95.42	11.39	73.77	5.07	0.26	88.3	43.6	47598	39.9
9003	895699	94.59	13.45	72.39	4.89	0.28	87.1	33.3	42267	40.2
9005	185141	58.55	1.70	93.25	1.90	0.15	91.2	32.3	42744	46.4
9007	164438	75.46	5.00	88.93	2.94	0.09	92	37	48015	44.7
